name,Prompt,negative_prompt
Graffiti,"Portrait, woman, graffiti style, A spray-painted portrait of a person with an abstract, spray-like face using loose, bold strokes and vibrant colors. The background is a concrete wall with layered graffiti tags and drips","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
GTA,"Portrait, woman, gta v character holding a gun, vice city background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Hulk,"Portrait, woman, Hulk, muscular, green skin, glowing green eyes, torn purple pants, cityscape, rubble, destruction, dramatic lighting, clenched fists, fierce expression, powerful pose","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Isometric,"Portrait, woman, isometric perspective, crisp 3D map, intricate tiny details, vibrant","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Kirigami,"Portrait, woman, kirigami, 3D paper folding, intricate symmetrical cuts, delicate assembly","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Legend of Zelda,"Portrait, woman, legend of zelda style, vibrant fantasy adventure, epic heroic setting","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Manga Lineart,"Portrait, woman, manga lineart, anime, bold outlines, dynamic shading, classic manga feel","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Marble Statue,"Portrait, woman, marble statue style","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Matrix,"Portrait, woman, matrix style, futuristic sunglasses, black coat, green digital code","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Minecraft,"Portrait, woman, as blocky Minecraft character. Cubic head, limbs, and pixelated features. Blocky environment with square trees and clouds.","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Minimalist,"Portrait, woman, minimalist illustration, simple clean lines, uncluttered design","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Monochrome,"Portrait, woman, monochrome, black and white, strong contrast, textural depth","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Naruto,"Portrait, woman, Naruto character, anime style, wearing a ninja headband with the Konoha symbol, traditional ninja outfit in vibrant colors, standing on a rocky landscape with dramatic clouds in the background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Oil Painting,"Portrait, woman, oil painting style, soft lighting, intricate brushstrokes, rich colors","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Origami,"Portrait, woman, origami figure, folded paper art, geometric pleats, delicate craft","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Paper Mache,"Portrait, woman, paper mache figure, sculptural texture, handmade vibrant form","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Paper Quilling,"Portrait, woman, paper quilling art, delicate spirals, rolled shapes, dimensional design","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Papercut,"Portrait, woman, white papercut style, layered shapes, clean edges, artistic cutouts","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Papercut Light Box,"Portrait, woman, 3D papercut shadow box, layered silhouettes, dimensional depth","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Papercut Stacked,"Portrait, woman, coloured stacked papercut art, layered dimensional shapes, high contrast","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pencil Sketch,"Portrait, woman, pencil sketch, detailed shading, fine lines, soft graphite look","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pirate,"Portrait, woman, pirate, classic attire, adventurous nautical setting, cinematic angle","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pixel Art,"Portrait, woman, pixelated, blocky, 8-bit, retro, pixel, simple, geometric, flat","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pointillism,"Portrait, woman, pointillism style, tiny dots forming image, vibrant color blending","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pokémon,"Portrait, woman, person with pokémons, pokémon style, playful fantasy, anime-inspired","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Pop Art,"Portrait, woman, pop art style, bright colors, bold outlines, iconic pop vibe","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Postal Stamp,"Portrait, woman, postal stamp style, vintage border, collectible look, small framed design","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Psychedelic,"Portrait, woman, psychedelic style, swirling patterns, vibrant trippy colors","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Race Driver,"Portrait, woman, race driver, pro racing suit, sports car backdrop, dynamic setting","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Renaissance,"Portrait, woman, renaissance painting style, refined light and shadow, classical realism","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Retro Game,"Portrait, woman, retro game art, 16-bit style, nostalgic palette, fun pixel vibe","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Rick and Morty,"Portrait, woman, Rick and Morty style, comedic sci-fi cartoon, chaotic energy, a swirling neon-green portal glowing in the background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Round Badge,"Portrait, woman, round badge style, circular emblem, contained design, bold framing","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Royalty,"Portrait, woman, royalty style, regal attire, majestic ambiance, opulent details","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
RPG Fantasy Game,"Portrait, woman, holding epic gold hammer, rpg fantasy, detailed armor, epic high-fantasy setting, heroic flair","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Satoshi Urushihara,"Portrait, woman, satoshi urushihara style, expressive lines, vivid color, detailed shading","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Sewing Doll,"Portrait, woman, sewing doll style, stitched details, handcrafted look, fabric texture","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Shrek,"Portrait, woman, green-skinned shrek","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Silhouette,"Portrait, woman, silhouette style, high contrast black shape, minimalist background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Soccer Player,"Portrait, woman, soccer player, dynamic pose, energetic stadium, action shot","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Soldier,"Portrait, woman, soldier style, tactical gear, intense setting, dramatic angle","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Spider-Man,"Portrait, woman, spider-man style, iconic suit, dynamic aerial pose, comic flair","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Stained Glass,"Portrait, woman, face entirely made of stained glass, mosaic style, vibrant and translucent glass pieces, black leading lines, geometric patterns, no realistic features, fully integrated into a stained glass design, intricate and colorful","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Street Fighter,"Portrait, woman, street fighter style, vibrant fighting aesthetic, arcade action","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Studio Photo,"Portrait, woman, studio style, refined lighting, professional backdrop, clean composition","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Super Mario,"Portrait, woman, super mario style, playful cartoon vibe, bright colors, classic game feel","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Surrealist,"Portrait, woman, surrealist art, dreamlike imagery, symbolic, thought-provoking","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Tarot Card,"Portrait, woman, tarot card style, ornate borders, mystical symbolism, vintage mood","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
The Simpsons,"Portrait, woman, the simpsons character, the simpsons city background","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Tribal,"Portrait, woman, tribal, indigenous-inspired patterns","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Viking,"Portrait, woman, viking with helmet, norse attire, rugged setting, warrior vibe","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Watercolor,"Portrait, woman, watercolor painting, vibrant washes, painterly textures, soft edges","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Wicked Skull,"Portrait, woman, wicked skull, haunting design, dark decorative bones, menacing vibe","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Wizard,"Portrait, woman, wizard, arcane magic, mystical aura, fantasy realm","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Zentangle,"Portrait, woman, zentangle style, intricate abstract patterns, repetitive monochrome designs, bold outlines, fine details, variety of shapes, fully filled with patterns, no empty spaces","bad quality, deformed, blur, glitch, mutated, disfigured, watermark, lowres"
Zombie,"Portrait, woman, zombie, skeletal face with exposed bone structure, decayed flesh partially covering the skull, ribs visible through the chest, blood dripping from wounds, hollow eyes, decomposed and terrifying expression, urban alley background, dramatic and eerie lighting, intense horror aesthetic","bad quality, deformed, blur, glitch, mutated, watermark, lowres"
